"points","all_attributes","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"48","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999998","1.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","0.345808096630465","0.2914955212104335","0.2914955212104335","0.29149552121043343","0.3458080966304651","0.3458080966304651","0.3458080966304651","0.2736775387542931","0.2736775387542932","0.2736775387542931","0.2189037408335654","0.2189037408335654","0.2189037408335654","0.10266029657477024","0.10266029657477024","0.10266029657477024","0.20108575837742504","0.20108575837742504","0.20108575837742504","0.0"
"96","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","0.5310672514619882","0.3488835725677831","0.3488835725677831","0.3488835725677831","0.5165387426900585","0.5165387426900584","0.5165387426900584","0.3343550637958532","0.3343550637958533","0.3343550637958533","0.24908791866028704","0.24908791866028707","0.24908791866028704","0.10602239500265817","0.10602239500265817","0.10602239500265817","0.2004419191919192","0.2004419191919192","0.2004419191919192","0.0"
"144","0.9999999999999997","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.36634199134199136","0.36634199134199136","0.3663419913419913","0.3027417027417027","0.30274170274170265","0.3027417027417027","0.9570707070707067","0.957070707070707","0.957070707070707","0.957070707070707","0.957070707070707","0.957070707070707","0.20975135975135972","0.20975135975135972","0.2097513597513597","0.0"
"192","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999998","1.0","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","0.8657407407407407","0.753968253968254","0.7539682539682538","0.753968253968254","0.8503968253968253","0.8503968253968255","0.8503968253968255","0.7277777777777779","0.7277777777777779","0.7277777777777777","0.6343915343915343","0.6343915343915343","0.6343915343915343","0.28809523809523807","0.28809523809523807","0.28809523809523807","0.557936507936508","0.557936507936508","0.5579365079365078","0.0"
"240","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5894764957264959","0.5210336538461539","0.5210336538461537","0.5210336538461539","0.4609375","0.4609375","0.4609375","0.3908253205128205","0.3908253205128205","0.3908253205128205","0.5064102564102564","0.5064102564102564","0.5064102564102564","0.39342948717948717","0.39342948717948717","0.39342948717948717","0.274372329059829","0.274372329059829","0.274372329059829","0.0"
"288","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8159722222222221","0.8015232974910395","0.8015232974910396","0.8015232974910395","0.7786458333333333","0.7786458333333334","0.7786458333333334","0.4825466476913346","0.4825466476913346","0.4825466476913346","0.6418675108932462","0.6418675108932462","0.6418675108932462","0.5308942125237192","0.5308942125237192","0.5308942125237192","0.5756432725419918","0.5756432725419918","0.5756432725419918","0.0"
"336","1.0000000000000002","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.48206929949399124","0.3166480301798139","0.3166480301798139","0.31664803017981386","0.323947462049336","0.3239474620493359","0.3239474620493359","0.12281670732809255","0.12281670732809255","0.12281670732809255","0.42922723524893835","0.42922723524893835","0.42922723524893835","0.24087306293485133","0.2408730629348514","0.24087306293485133","0.29037623113761635","0.29037623113761635","0.29037623113761635","0.0"
"384","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5436921296296297","0.46516203703703707","0.46516203703703707","0.46516203703703707","0.47841435185185194","0.4784143518518519","0.4784143518518519","0.3935378086419753","0.3935378086419753","0.3935378086419753","0.19068287037037038","0.19068287037037038","0.19068287037037038","0.11695601851851851","0.11695601851851851","0.11695601851851851","0.12631172839506175","0.12631172839506175","0.12631172839506175","0.0"
"432","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.4079475508695108","0.2687153708024851","0.26871537080248503","0.2687153708024851","0.32152779778309115","0.32152779778309104","0.32152779778309115","0.1308907645870743","0.1308907645870743","0.1308907645870743","0.21102564841221821","0.21102564841221821","0.21102564841221821","0.13782460621541076","0.13782460621541076","0.13782460621541076","0.18346072716913608","0.18346072716913608","0.18346072716913608","0.0"
"480","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6279491833030852","0.39564428312159705","0.39564428312159705","0.39564428312159705","0.558983666061706","0.5589836660617058","0.5589836660617059","0.29038112522686027","0.29038112522686027","0.29038112522686027","0.3294010889292196","0.3294010889292196","0.3294010889292196","0.10526315789473685","0.10526315789473685","0.10526315789473685","0.2513611615245009","0.2513611615245009","0.25136116152450094","0.0"
"528","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.8548491379310341","0.4490301724137931","0.44903017241379306","0.4490301724137931","0.6985991379310343","0.6985991379310343","0.6985991379310345","0.23028017241379312","0.23028017241379312","0.23028017241379306","0.5316810344827585","0.5316810344827585","0.5316810344827585","0.10937500000000001","0.10937500000000001","0.10937500000000001","0.39105603448275855","0.39105603448275855","0.3910560344827586","0.0"
"576","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6811713386727687","0.433712814645309","0.433712814645309","0.433712814645309","0.5595923913043478","0.5595923913043478","0.5595923913043477","0.2506536041189932","0.2506536041189932","0.2506536041189932","0.6293621281464531","0.6293621281464531","0.6293621281464531","0.34539473684210525","0.34539473684210525","0.34539473684210525","0.4525200228832952","0.4525200228832952","0.4525200228832952","0.0"
"624","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.7285682916117697","0.32615283267457185","0.3261528326745718","0.32615283267457185","0.6563460693895478","0.6563460693895475","0.6563460693895476","0.20948616600790512","0.20948616600790512","0.20948616600790515","0.674308300395257","0.674308300395257","0.674308300395257","0.2","0.2","0.2","0.5409749670619236","0.5409749670619236","0.5409749670619236","0.0"
"672","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5110479797979799","0.37488726551226553","0.37488726551226553","0.3748872655122655","0.34090909090909094","0.340909090909091","0.34090909090909094","0.14398448773448771","0.14398448773448771","0.14398448773448771","0.4037698412698412","0.4037698412698412","0.4037698412698412","0.32812500000000006","0.328125","0.32812500000000006","0.17894345238095238","0.17894345238095238","0.17894345238095238","0.0"
"720","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.25793269230769234","0.12548076923076923","0.12548076923076923","0.12548076923076923","0.23281250000000003","0.2328125","0.2328125","0.11622596153846154","0.11622596153846154","0.11622596153846154","0.2048076923076923","0.2048076923076923","0.2048076923076923","0.07271634615384616","0.07271634615384616","0.07271634615384616","0.17704326923076924","0.17704326923076924","0.17704326923076924","0.0"
"768","0.9999999999999996","1.0","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.6372996794871795","0.501510989010989","0.5015109890109889","0.501510989010989","0.5696803774928776","0.5696803774928775","0.5696803774928774","0.4622481684981684","0.4622481684981685","0.46224816849816847","0.47658157814407814","0.47658157814407814","0.47658157814407814","0.19740473646723644","0.19740473646723644","0.19740473646723644","0.3947840354090354","0.3947840354090354","0.3947840354090354","0.0"
"816","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5177248677248678","0.4109126984126984","0.4109126984126984","0.4109126984126984","0.3945767195767196","0.3945767195767196","0.3945767195767196","0.2650793650793651","0.26507936507936514","0.26507936507936514","0.38498677248677254","0.38498677248677254","0.38498677248677254","0.17824074074074076","0.17824074074074076","0.17824074074074076","0.28128306878306875","0.28128306878306875","0.28128306878306875","0.0"
"864","1.0000000000000002","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8333333333333335","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.75","0.75","0.7500000000000002","0.3333333333333333","0.33333333333333337","0.33333333333333337","0.7083333333333334","0.7083333333333334","0.7083333333333334","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5416666666666667","0.5416666666666667","0.5416666666666667","0.0"
"912","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5357142857142858","0.3535714285714286","0.35357142857142854","0.3535714285714286","0.5071428571428571","0.5071428571428571","0.5071428571428571","0.3285714285714286","0.3285714285714286","0.32857142857142857","0.2928571428571428","0.2928571428571428","0.2928571428571428","0.021428571428571446","0.021428571428571446","0.021428571428571446","0.2714285714285714","0.2714285714285714","0.2714285714285714","0.0"
"960","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","0.7754629629629632","0.4892526455026456","0.4892526455026456","0.4892526455026456","0.7241236772486772","0.7241236772486774","0.7241236772486774","0.4379133597883599","0.43791335978835977","0.43791335978835977","0.4988425925925926","0.4988425925925926","0.4988425925925926","0.051339285714285705","0.051339285714285705","0.051339285714285705","0.4988425925925926","0.4988425925925926","0.4988425925925926","0.0"
"1008","0.8437500000000001","0.8437499999999999","0.84375","0.84375","0.84375","0.8437499999999999","0.8437499999999999","0.8437499999999999","0.8437499999999999","0.84375","0.84375","0.8437499999999999","0.8437499999999999","0.84375","0.84375","0.84375","0.7434895833333333","0.7052951388888888","0.7052951388888888","0.705295138888889","0.62890625","0.62890625","0.62890625","0.533420138888889","0.533420138888889","0.533420138888889","0.7005208333333333","0.7005208333333333","0.7005208333333333","0.7005208333333333","0.7005208333333333","0.7005208333333333","0.4331597222222222","0.4331597222222222","0.4331597222222222","0.15625"
"1056","0.953125","0.953125","0.953125","0.9531249999999999","0.953125","0.9531249999999999","0.9531249999999999","0.953125","0.953125","0.953125","0.953125","0.9531249999999999","0.953125","0.953125","0.953125","0.953125","0.31555488782051283","0.2894130608974359","0.2894130608974359","0.2894130608974359","0.17467948717948717","0.17467948717948714","0.17467948717948717","0.12239583333333336","0.12239583333333336","0.12239583333333336","0.30103165064102566","0.30103165064102566","0.30103165064102566","0.2734375","0.2734375","0.2734375","0.14708533653846156","0.14708533653846156","0.14708533653846156","0.046875"
"1104","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.3314008295625943","0.25150792154468626","0.25150792154468626","0.25150792154468626","0.32949937453613926","0.32949937453613926","0.3294993745361392","0.23439482630659103","0.23439482630659103","0.23439482630659103","0.27094593179152","0.27094593179152","0.27094593179152","0.017113095238095236","0.017113095238095236","0.017113095238095236","0.23671974131532952","0.23671974131532952","0.23671974131532952","0.0"
"1152","0.9999999999999998","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.2304110833522598","0.07953147475206299","0.07953147475206299","0.07953147475206299","0.21519192750810398","0.21519192750810395","0.21519192750810395","0.06262130159188983","0.06262130159188983","0.06262130159188983","0.18514246914982208","0.18514246914982208","0.18514246914982208","0.03720238095238096","0.03720238095238096","0.03720238095238096","0.15639517477752768","0.15639517477752768","0.1563951747775277","0.0"
"1200","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7279229691339065","0.35502245853808356","0.35502245853808356","0.35502245853808356","0.676786605497543","0.676786605497543","0.6767866054975429","0.33744433353808356","0.33744433353808356","0.33744433353808356","0.6345160856879607","0.6345160856879607","0.6345160856879607","0.0703125","0.0703125","0.0703125","0.5642035856879607","0.5642035856879607","0.5642035856879607","0.0"
"1248","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5833333333333333","0.4583333333333333","0.4583333333333333","0.4583333333333333","0.5833333333333333","0.5833333333333333","0.5833333333333333","0.4583333333333333","0.4583333333333333","0.4583333333333333","0.375","0.375","0.375","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.375","0.375","0.375","0.0"
"1296","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.650220266431204","0.3712689074017199","0.3712689074017199","0.3712689074017199","0.6216888052825553","0.6216888052825553","0.6216888052825553","0.31299188037469283","0.31299188037469283","0.31299188037469283","0.49501881142506143","0.49501881142506143","0.49501881142506143","0.13498157248157244","0.13498157248157244","0.13498157248157244","0.4755931357493858","0.4755931357493858","0.4755931357493857","0.0"
"1344","1.0","0.9999999999999998","1.0","1.0","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.48898675461175467","0.3473855348855348","0.3473855348855349","0.3473855348855349","0.3918675168675169","0.39186751686751686","0.3918675168675169","0.22449458386958387","0.22449458386958382","0.22449458386958387","0.36782582095082095","0.36782582095082095","0.36782582095082095","0.17962442962442965","0.17962442962442965","0.17962442962442965","0.26954084766584774","0.26954084766584774","0.2695408476658477","0.0"
"1392","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","0.43749999999999994","0.1875","0.1875","0.1875","0.375","0.37500000000000006","0.375","0.125","0.125","0.125","0.3541666666666667","0.3541666666666667","0.35416666666666663","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.0"
"1440","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0000000000000002","1.0000000000000002","0.9999999999999999","1.0","1.0","1.0","0.2792174796747967","0.08924337011227255","0.08924337011227255","0.08924337011227255","0.2598722415795586","0.2598722415795587","0.25987224157955857","0.07634654471544716","0.07634654471544716","0.07634654471544716","0.23202187379016648","0.23202187379016648","0.23202187379016648","0.006448412698412702","0.006448412698412702","0.006448412698412702","0.20945242934572203","0.20945242934572203","0.209452429345722","0.0"
"1488","1.0","1.0","0.9999999999999999","1.0","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.19215342995830803","0.10956615072468733","0.10956615072468733","0.10956615072468733","0.18241317021804831","0.18241317021804831","0.18241317021804831","0.09252069617923278","0.09252069617923278","0.09252069617923278","0.11419336266897244","0.11419336266897244","0.11419336266897244","0.03165584415584416","0.03165584415584416","0.03165584415584416","0.11419336266897244","0.11419336266897244","0.11419336266897244","0.0"
"1536","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6239559872372372","0.3097337394212394","0.3097337394212394","0.3097337394212395","0.6087650150150151","0.6087650150150151","0.6087650150150151","0.3097337394212395","0.3097337394212394","0.3097337394212395","0.5302763701201202","0.5302763701201201","0.5302763701201201","0.11509627525252525","0.11509627525252525","0.11509627525252525","0.5275143751706253","0.5275143751706253","0.5275143751706253","0.0"
"1584","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.45654039505587185","0.2769879625237192","0.27698796252371916","0.27698796252371916","0.4141876844823951","0.4141876844823952","0.4141876844823952","0.1753776947607","0.1753776947607","0.1753776947607","0.33043350068522037","0.33043350068522037","0.33043350068522037","0.16641382695551338","0.16641382695551338","0.16641382695551338","0.3273533035526039","0.3273533035526039","0.3273533035526039","0.0"
"1632","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.4889729841105553","0.34823088570716654","0.34823088570716654","0.34823088570716654","0.4082511548118759","0.4082511548118759","0.4082511548118759","0.2683883426293293","0.2683883426293293","0.2683883426293293","0.27987464780633664","0.27987464780633664","0.27987464780633664","0.16592466409828838","0.16592466409828838","0.16592466409828838","0.20258970156977749","0.20258970156977749","0.2025897015697775","0.0"
"1680","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.734006734006734","0.36237373737373735","0.36237373737373735","0.36237373737373735","0.6886363636363635","0.6886363636363637","0.6886363636363637","0.2951238576238576","0.2951238576238576","0.2951238576238576","0.6488696488696488","0.6488696488696488","0.6488696488696488","0.25542929292929295","0.25542929292929295","0.25542929292929295","0.5872955747955748","0.5872955747955748","0.5872955747955748","0.0"
"1728","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.38039023164552493","0.3374240198196641","0.3374240198196641","0.3374240198196641","0.18891037459549254","0.18891037459549254","0.18891037459549254","0.15248249935182784","0.15248249935182784","0.15248249935182784","0.31559402177218265","0.31559402177218276","0.31559402177218276","0.24845679012345676","0.2484567901234568","0.24845679012345676","0.13905893405288444","0.13905893405288444","0.13905893405288444","0.0"
"1776","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.41471525298657785","0.32928292215951016","0.32928292215951016","0.32928292215951016","0.33435811012943495","0.334358110129435","0.33435811012943495","0.3055987116331944","0.3055987116331944","0.3055987116331944","0.2020222971221156","0.2020222971221156","0.2020222971221156","0.10827067669172932","0.10827067669172932","0.10827067669172932","0.16734184599429608","0.16734184599429608","0.16734184599429608","0.0"
"1824","0.9999999999999998","1.0000000000000002","0.9999999999999997","1.0","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","0.4649719250048197","0.426665220744168","0.42666522074416807","0.426665220744168","0.13965080971659918","0.1396508097165992","0.1396508097165992","0.11277894254867937","0.11277894254867937","0.11277894254867937","0.40468358395989973","0.40468358395989973","0.40468358395989973","0.32474937343358395","0.32474937343358395","0.32474937343358395","0.1039473684210526","0.1039473684210526","0.10394736842105262","0.0"
