"points","all_attributes","BranchNumber","ConsumerID"
"42336","0.07321536832325523","0.07321536832325522","0.07321536832325523"
"83808","0.054831486992945336","0.054831486992945315","0.054831486992945336"
"124128","0.032713293650793646","0.03271329365079365","0.032713293650793646"
"164448","0.04672619047619049","0.04672619047619049","0.04672619047619048"
"204768","0.02323908730158731","0.023239087301587306","0.02323908730158731"
"245088","0.03529265873015873","0.03529265873015874","0.03529265873015872"
"285408","0.03605004620466521","0.036050046204665204","0.036050046204665204"
"327560","0.04240950163351336","0.04240950163351336","0.04240950163351336"
"369896","0.043650793650793634","0.04365079365079364","0.04365079365079365"
"412232","0.07282218442932728","0.07282218442932731","0.0728221844293273"
"454568","0.03656462585034014","0.036564625850340135","0.036564625850340135"
"496904","0.03566704459561602","0.03566704459561602","0.03566704459561602"
"539240","0.05061885865457293","0.05061885865457293","0.05061885865457295"
"581576","0.0581065759637188","0.058106575963718814","0.0581065759637188"
"623912","0.04492481285336503","0.04492481285336503","0.04492481285336504"
"666247","0.02971246564637436","0.029712465646374354","0.029712465646374357"
"708583","0.06463494727031273","0.06463494727031271","0.06463494727031273"
"752732","0.05501754240011336","0.05501754240011336","0.05501754240011336"
"797084","0.04552218614718615","0.04552218614718616","0.045522186147186144"
"841436","0.031227453102453104","0.031227453102453107","0.031227453102453104"
"885788","0.04687499999999999","0.04687499999999999","0.046875"
"930140","0.02403499278499279","0.024034992784992788","0.02403499278499279"
"974492","0.04671717171717171","0.04671717171717172","0.04671717171717172"
"1018844","0.07916215728715727","0.07916215728715728","0.07916215728715727"
"1063196","0.05677308802308803","0.05677308802308803","0.05677308802308803"
"1107548","0.04277146464646465","0.04277146464646465","0.04277146464646465"
"1151900","0.055420274170274175","0.05542027417027417","0.055420274170274175"
"1196252","0.07395382395382397","0.07395382395382397","0.07395382395382398"
"1240604","0.07778679653679654","0.07778679653679654","0.07778679653679654"
"1284956","0.0442821067821068","0.044282106782106784","0.044282106782106784"
"1329308","0.05868957431457432","0.05868957431457431","0.05868957431457431"
"1373660","0.04955808080808082","0.0495580808080808","0.04955808080808081"
"1418012","0.041644119769119775","0.041644119769119775","0.04164411976911977"
"1462364","0.01679743867243867","0.01679743867243867","0.01679743867243867"
"1506716","0.022321428571428572","0.02232142857142857","0.02232142857142857"
"1551068","0.04570256132756133","0.04570256132756133","0.04570256132756132"
"1595420","0.047168109668109665","0.04716810966810966","0.047168109668109665"
"1639772","0.046987734487734495","0.04698773448773449","0.046987734487734495"
"1684124","0.04378607503607504","0.04378607503607503","0.04378607503607504"
"1728476","0.04090007215007214","0.04090007215007216","0.04090007215007214"
"1772828","0.05289502164502165","0.052895021645021655","0.05289502164502164"
"1817180","0.039750180375180376","0.03975018037518037","0.03975018037518037"
"1861532","0.03959235209235209","0.03959235209235209","0.03959235209235209"
"1905884","0.06272546897546898","0.06272546897546896","0.06272546897546896"
"1950236","0.04998647186147187","0.049986471861471864","0.049986471861471864"
"1994588","0.03039321789321789","0.030393217893217896","0.03039321789321789"
"2038940","0.018262987012987005","0.018262987012987005","0.01826298701298701"
"2083292","0.028048340548340545","0.028048340548340545","0.028048340548340545"
"2127644","0.027665043290043278","0.027665043290043278","0.02766504329004328"
"2171996","0.02374188311688312","0.023741883116883116","0.023741883116883127"
"2216348","0.04094516594516594","0.04094516594516595","0.040945165945165944"
